num_episode,v_behavior,v_target,v_gain,v_behavior_std,v_target_std,v_gain_std,offline_method,loss,model
0,102.61935580124174,44.58959154430255,0.43023126226130953,13.247511272075135,99.10928087249046,0.9451601801829596,IS,,BCTrainer
1,102.52201846689138,45.57641699924232,0.4397832854311059,13.16375148936953,101.88590561289394,0.9721226447087479,IS,,BCTrainer
2,102.44381969085222,46.207327198495,0.44736400520132874,12.887894888606994,104.7150107963777,0.9990504525423636,IS,,BCTrainer
3,102.54651872425306,43.836961996370505,0.42318468705553297,12.86963552681211,98.52134763686695,0.9369197507907464,IS,,BCTrainer
4,102.6672066229998,48.48217629128987,0.46855153483452705,13.466870349777043,110.68282074481058,1.0555329134672469,IS,,BCTrainer
5,102.20909964996245,47.5035190079233,0.4614237515649525,13.215433683964122,112.73926283531111,1.0786603837418918,IS,,BCTrainer
6,102.54179142624048,49.714790201502,0.4792141969058934,13.034125325024593,116.51122139404684,1.1105954465974364,IS,,BCTrainer
7,102.31158073018513,50.81839838909518,0.49280515898543004,14.323819205582502,119.10896886459783,1.1347028974416,IS,,BCTrainer
8,102.44082784341421,51.103971635438654,0.49161265293353074,13.719694651776283,121.5237462584276,1.1570322344326773,IS,,BCTrainer
9,102.57564830690885,52.21755782936868,0.5025935072478194,12.799634697491983,124.14572421106439,1.1815430000264113,IS,,BCTrainer
10,102.32619434431867,49.895188120950365,0.4819734869542832,13.609217915675355,116.19362131919466,1.1022530917101365,IS,,BCTrainer
11,102.33089085562821,53.39730039074575,0.5193701830603196,14.619317193541024,128.64899566785923,1.2263861186395284,IS,,BCTrainer
12,102.75364273380873,53.55395041819276,0.5179521725567903,12.633555028940835,130.03942791540342,1.2411457742133518,IS,,BCTrainer
13,102.0547653228741,55.47677220230057,0.54034485539443,14.305955116737605,133.0166553179865,1.2673010988116862,IS,,BCTrainer
14,102.40275222042445,56.53881682949488,0.5463016902916233,13.919830234699425,135.6730787144393,1.2885505567600792,IS,,BCTrainer
15,102.69773852004312,57.397826999422044,0.5512619257372491,12.971634647364146,137.93115251826208,1.3093136306308675,IS,,BCTrainer
16,102.47408252458926,58.570764392175086,0.5692340388507073,13.346537003230054,140.09266073304738,1.3351335941975915,IS,,BCTrainer
17,102.15030332799248,58.78969711668881,0.5650464314988756,13.959112171016894,142.68042081692124,1.3535492394580446,IS,,BCTrainer
18,102.42783256011812,55.46772193526781,0.5315248750690835,14.24417058383169,132.45307940904544,1.2511725673960157,IS,,BCTrainer
19,102.71365443696247,59.94114633753198,0.5795064769468007,12.861524137596362,145.48384462094174,1.3851898804769949,IS,,BCTrainer
20,102.49949964735416,61.80909327643651,0.5936831294422695,12.823106706412707,148.97360085726123,1.4113710468828937,IS,,BCTrainer
21,102.3355052334205,63.14285529375366,0.607973882243393,13.307959005080965,151.08292602965224,1.4311174218835647,IS,,BCTrainer
22,102.58101031980887,63.48223228780235,0.6090632554999231,13.215732401962281,153.27868576729972,1.4506046934841441,IS,,BCTrainer
23,102.56973921554997,64.80769210922882,0.6215033688863182,12.948918250939688,155.41223457906963,1.4710076299025439,IS,,BCTrainer
24,102.44967617841725,65.7392288993501,0.6326691800113683,12.830264703061571,157.50382078091408,1.4903324583603885,IS,,BCTrainer
25,102.46848090995253,61.61330522061422,0.5899584745142712,13.280355458630103,146.5585537994897,1.379556749988215,IS,,BCTrainer
26,102.69375668098465,68.22520263986343,0.655366685193766,13.671717642454828,161.42188213266874,1.5258839539720097,IS,,BCTrainer
27,102.17032371536432,66.22405288395541,0.6393535176960268,13.668561456418182,161.6689636649618,1.5353991863541288,IS,,BCTrainer
28,102.15283648700255,69.43916317254653,0.6678658317599613,14.251476843925166,165.4988259403521,1.563436833420527,IS,,BCTrainer
29,102.7101367711496,70.99525087272687,0.6802156018796618,12.733228649736763,168.196684997472,1.588935571922368,IS,,BCTrainer
30,102.4255845127808,71.30055365682848,0.6833459791017239,13.91231474960864,169.96262944811625,1.605131583667003,IS,,BCTrainer
31,102.22684632926098,72.39956926980545,0.6946177732489813,13.970296897046527,172.60296040788262,1.6297234840664707,IS,,BCTrainer
32,102.64533899197357,69.71283183453781,0.6681778141349429,12.552923789429109,161.63009919097084,1.5199823173250366,IS,,BCTrainer
33,102.3669728525505,73.83781373718553,0.706559598257013,14.52521801179083,176.2759628507601,1.6636577826640389,IS,,BCTrainer
34,102.6812850194007,73.79236516540011,0.7111079861544232,13.118012380548578,176.4362823324463,1.6742849410773262,IS,,BCTrainer
35,102.12831482231505,76.69600081541958,0.739163064355376,14.129405919931832,180.02734492283378,1.6982011246343585,IS,,BCTrainer
36,102.32109595781739,77.57744505950444,0.7449372721478691,13.698553751835894,182.21667236831397,1.7176371264899042,IS,,BCTrainer
37,102.747282290658,79.29746166099952,0.759317550083099,12.778458193016544,184.45376536986396,1.7392854386671026,IS,,BCTrainer
38,102.43852050135827,80.44132324023094,0.774230114769451,13.499433312262637,186.28753560785185,1.7585610700886518,IS,,BCTrainer
39,102.24253205190715,81.04932006835321,0.7767675014030307,13.416612270122398,188.94939426060049,1.781097857349622,IS,,BCTrainer
40,102.48627650027329,76.82877972657694,0.7348377476642254,13.451969149913552,176.3133684556318,1.6528197328972745,IS,,BCTrainer
41,102.71473157236196,82.23798128431925,0.7932337998856341,12.590585746079553,191.38927579615725,1.8135411374059276,IS,,BCTrainer
42,102.44803470520212,85.29518680410787,0.8174787844764315,13.008488936436098,197.03286900472003,1.8556439617031542,IS,,BCTrainer
