num_episode,v_behavior,v_target,v_gain,v_behavior_std,v_target_std,v_gain_std,offline_method,loss,model,time
37,102.17032371536432,35.613974844631024,0.346662441460785,13.668561456418182,68.9489403680547,0.6609341074496158,IS,,MARWILTrainer,2014.458161830902
38,102.15283648700255,36.541061309118795,0.3554001843596971,14.251476843925166,69.62332681921042,0.6641043353447368,IS,,MARWILTrainer,2014.458161830902
39,102.7101367711496,37.183381449684404,0.3598541112601907,12.733228649736763,69.77378623147517,0.6658284082026205,IS,,MARWILTrainer,2014.458161830902
40,102.4255845127808,36.38702178460309,0.35214753048575986,13.91231474960864,69.45294377439406,0.6620356350058284,IS,,MARWILTrainer,2014.458161830902
41,102.22684632926098,36.351863315669895,0.35218674538710587,13.970296897046527,69.46915008048424,0.6619359325642867,IS,,MARWILTrainer,2014.458161830902
42,102.64533899197357,35.144896108294084,0.3403380353118052,12.552923789429109,64.83087451187258,0.6174311679865985,IS,,MARWILTrainer,2014.458161830902
43,102.3669728525505,36.19753243914478,0.34988015992610405,14.52521801179083,69.27508968859243,0.6606543512553019,IS,,MARWILTrainer,2014.458161830902
44,102.6812850194007,35.90860307332628,0.34883151420408315,13.118012380548578,69.0152651759914,0.6617302721089483,IS,,MARWILTrainer,2014.458161830902
45,102.12831482231505,36.61946961374252,0.35866628267249495,14.129405919931832,69.62508781955817,0.6651804117137244,IS,,MARWILTrainer,2014.458161830902
46,102.32109595781739,36.81774625550928,0.35827343148839846,13.698553751835894,69.69674029031985,0.6650335756329421,IS,,MARWILTrainer,2014.458161830902
47,102.747282290658,36.64704806601215,0.3542659090055965,12.778458193016544,69.52158639836475,0.662827939128483,IS,,MARWILTrainer,2014.458161830902
48,102.43852050135827,36.72836348196865,0.35830254574073883,13.499433312262637,69.56335096225551,0.6683004634879408,IS,,MARWILTrainer,2014.458161830902
49,102.24253205190715,36.292372944365276,0.35111260587680754,13.416612270122398,69.6148125431946,0.6637119182792124,IS,,MARWILTrainer,2014.458161830902
50,102.48627650027329,34.48463696570406,0.3335620418479179,13.451969149913552,64.28883844406279,0.6116276950037048,IS,,MARWILTrainer,2014.458161830902
51,102.71473157236196,36.24854196834775,0.3527471030745631,12.590585746079553,68.98673603466675,0.6615129775670981,IS,,MARWILTrainer,2014.458161830902
52,102.44803470520212,36.51114173351405,0.35365216738871186,13.008488936436098,69.72710348101309,0.6650612387570526,IS,,MARWILTrainer,2014.458161830902
53,102.40194631445891,36.810386373840196,0.358181277403864,13.302032900693927,69.70318075965457,0.6655940319257906,IS,,MARWILTrainer,2014.458161830902
54,102.48690262053101,36.66778698674826,0.3587779259190945,13.7294926492641,69.52170960819154,0.6664448078018531,IS,,MARWILTrainer,2014.458161830902
55,102.61338309257657,36.716195374796854,0.35532562718623506,12.970599855832678,69.5695111729972,0.663761670555155,IS,,MARWILTrainer,2014.458161830902
